ID TRAMO;TRAMO;DISTRITO
R_NAT;Ramal Natagaima  PK 493+100;D2
R_NEIR;Ramal Neira;D7
R_NEM;Ramal Nemocón;D3
R_NOB;Ramal Nobsa;D5
R_OIC;Ramal Oicatá;D5
R_PAE;Ramal Páez  PK 67+896;D5
R_PAI;Ramal Paipa;D5
R_PAIL;Ramal Pailitas;D6
R_PALE;Ramal Palestina  PK 107+608;D7
R_PAP;Ramal Papayal;D6
R_PAR;Ramal Paratebueno;D4
R_PAZ;Ramal La Paz;D6
R_PBOY;Ramal Puerto Boyaca ;D1
R_PCA;Ramal EDS Puerto Caldas;D7
R_PDR;Ramal Paz del Rio - Belencito;D5
R_PEL;Ramal Pelaya;D6
R_PER;Ramal Pereira   PK 153+406;D7
R_PIE;Ramal Piedras;D2
R_PORF;Ramal Ciudad Porfía  PK 34+142;D4
R_PPAR;Ramal Puerto Parra;D1
R_PRD;Ramal Pradera  PK 37+422;D8
R_PSER;Ramal Puerto Serviez  PK 150+002;D1
R_PTN;Ramal Puente Nacional;D5
R_PTS;Ramal Puerto Salgar;D1
R_PUR;Ramal Purificación;D2
R_QUE;Ramal Quetame;D4
R_QUI;Ramal Quimbaya ;D7
R_RAQ;Ramal Ráquira;D5
R_RES;Ramal Restrepo;D4
R_RHON;Ramal Rincón Hondo;D6
R_ROL;Ramal Roldanillo;D8
R_SAA;Ramal Saldaña A  PK 454+870;D2
R_SAB;Ramal Saldaña B  PK 458+345;D2
R_SABG;Ramal Sabanagrande;D6
R_SAL;Ramal Salento ;D7
R_SAND;Ramal San Diego;D6
R_SANP;Ramal San Pedro;D8
R_SCH;Ramal Sáchica;D5
R_SCR;Ramal Sucre;D5
R_SDN;Ramal Sidenal - Gas Natural;D5
R_SEV;Ramal Sevilla;D8
R_SIE;Ramal La Sierra  PK 344+310;D2
R_SJP;Ramal San José de Pare;D5
R_SJU;Ramal San Juan;D6
R_SMC;Ramal Samacá;D5
R_SMJ;Ramal Simijaca;D3
R_SMA;"Ramal San Martin  PK 463+440
";D1
R_SMT;Ramal EDS Santana Metrogas;D5
R_SNA;Ramal San Alberto ;D1
R_SNG;Ramal Senergy  PK 114+080;D3
R_SNL;Ramal San Luis;D2
R_SOG;Ramal Sogamoso  PK 80+980;D5
R_SOR;Ramal Sora;D5
R_SOT;Ramal Sotaquira;D5
R_SRF;Ramal San Rafael  PK 506+850;D1
R_SRO;Ramal San Roque;D6
R_SROC;Ramal Santa Rosa de Cabal;D7
R_SRV;Ramal Santa Rosa de Viterbo 16+100;D5
R_SSO;Ramal Santa Sofía;D5
R_SUA;Ramal Suaita;D5
R_SUS;Ramal Susa;D3
R_SUT;Ramal Sutamarchán;D5
R_SUTT;Ramal Sutatausa  (73+420);D3
R_TAM;Ramal Tamalameque;D6
R_TAU;Ramal Tauramena;D4
R_TAUS;Ramal Tausa;D3
R_TEB;Ramal Tebaida;D7
R_TEC;Ramal Termoemcali  PK 340+500;D8
R_TEV;Ramal Termovalle  PK 336+404;D8
R_TGA;Ramal EDS Total Gas;D8
R_TIB;Ramal Tibasosa;D5
R_TIE;Ramal Tierradentro;D2
R_TIJ;Ramal Tinjacá;D5
R_TMCN;Ramal Termocentro  PK 112+747;D1
R_TNG;Ramal Tunungua;D3
R_TOG;Ramal Togui;D5
R_TRD;Ramal Termodorada  PK 260+504;D2
R_TUJ;Ramal Tunja;D5
R_TUL;Ramal Tuluá;D8
R_TUT;Ramal Tuta  PK 36+700;D5
R_UBA;Ramal Ubaté;D3
R_UNE;Ramal Une;D4
R_UNI;Ramal La Unión  (9+217) ;D8
R_URU;Ramal Urumita;D6
R_VD;Ramal Valle de Tenza  PK 82+767;D5
R_VEL;Ramal Vélez;D5
R_VEN;Ramal Venadillo  PK 354+670;D2
R_VICT;Ramal La Victoria  (3+032);D8
R_VILL;Ramal Villavicencio;D4
R_VILM;Ramal Villamaría;D7
R_VILN;Ramal Villanueva;D6
R_VIR;Ramal La Virginia ;D7
R_VLE;Ramal Villa de Leyva;D5
R_VLG;Ramal Villavicencio GNI;D4
R_VLL;Ramal Villanueva  PK54+000;D4
R_VLLE;Ramal Valledupar;D6
R_VQM;Ventaquemada;D5
R_ZAR;Ramal Zarzal;D8
T_CUMI;Troncal Cusiana - Miraflores;D4
T_CUS_MIR;Troncal Cusiana - Miraflores;D5
T_APTE;Troncal Apiay - Termocoa;D4
T_API_VIL;Troncal Apiay - Villavicencio;D4
T_BAL_HAT;Troncal Ballenas - Hato Nuevo;D6
T_BOL;Troncal Bolívar;D5
T_BAR_SEB;Troncal Barrancabermeja - Sebastopol;D1
T_CAS_CUR;Troncal Casacará - Curumaní;D6
T_CUR_NOR;Troncal Curumaní - Norean;D6
T_CUS_PK65;Troncal Cusiana - PK65;D4
T_DIN_TEL;Troncal Dina - Tello;D2
T_GA;Troncal Gasoducto del Ariari;D4
T_GUA_GUA;Troncal Gualanday - Guasimal;D2
T_GUA_DIN;Troncal Guasimal - Dina;D2
T_HAT_JAG;Troncal Hato Nuevo - Jagua del Pilar;D6
T_JAG_CAS;Troncal Jagua del Pilar - Casacará;D6
T_LBBQ;Troncal PK 17+500 - Sucreo Oriental;D3
T_BEL_SUC;Troncal La Belleza - Pk 7+200;D3
T_LET_MARS;Troncal Letras - Marsella;D7
T_MAR_LET;Troncal Mariquita - Letras;D7
T_MARS_OBA;Troncal Marsella - Obando;D7
T_MIR_SUT;Troncal Miraflores - Sutamarchan;D5
T_MAR_GUA;Troncal Mariquita - Gualanday;D2
T_NOR_SAL;Troncal Norean - San Alberto;D1
T_OBA_TUL;Troncal Obando - Tuluá;D8
T_OTE_SAN;Troncal Otero - Santana;D5
T_PSA_MAR;Troncal Puerto Salgar - Mariquita;D2
T_PGU_SUC;Troncal Puente Guillermo - Sucre Oriental;D3
T_BEL_VAS;Troncal La Belleza - Vasconia;D1
T_BEL_VAS1;Troncal La Belleza - Vasconia;D3
T_SEB_VAS;Troncal Sebastopol - Vasconia;D1
T_SAL_BAR;Troncal San Alberto - B/meja;D1
T_SUC_COG;Troncal Sucre Oriental - Cogua;D3
T_SUT_BEL;Troncal Sutamarchan - La Belleza;D5
T_TEA_BEL;Troncal Teatinos - Belencito;D5
T_TEL_PIN;Troncal Tello - Los Pinos;D2
T_TUL_CAL;Troncal Tulúa - Cali;D8
T_PK65_API;Troncal PK65 - Apiay;D4
T_VIL_US;Troncal Villavicencio - Usme;D4
T_VAS_PSA;Troncal Vasconia - Puerto Salgar;D1
